Akistrodesmus	Ankistrodesmus	
Cyclotella	Cyclotella meneghiniana ? ,10 um	Cyclotella mengehiniana ? ,10 um	
Bacillaria paxilifera	Cocconeis	
Bacillaria paxilifera	Cocconeis	
Navicula sp. (<10um)	Navicula sp. (small oval)	
Akashiwo sanguineum	Alexandrium	
Akashiwo sanguineum	Alexandrium	
Gymnodinium (M)	Gymnodinium (Medium)	
Gyrodinium(M)	Gyrodinium(large)	Gyrodinium(med)	
Gyrodinium(small)	Karlodinium	
others	others (Hetero/Gymno - shrunk)	
Dictyoca	Dictyocha	
Anabaena	Anabaena  circinalis	
Cyclotella	Cyclotella   meneghiniana <10um	Cyclotella   meneghiniana ? <10um	
Cyclotella/Thalassiosira	Cyclotella/Thallasiosira	Cylindrotheca  closterium	
	Cylindrotheca  closterium	
Cosmarium	Dactilyosolen	Dactyliosolen	
Dactilyosolen	Guinardia	
Leptocylindricus	Leptocylindrus	
Navicula sp. (<10um)	Naviculoid (<10um)	
Navicula sp (>10um))	Naviculoid (>10um)	
Pleurosigma	Pseusonitzschia	
Pseusonitzschia	pennate diatom	
Synedra	pennate diatom	
Synedra	others	
Akashiwo sanguinea	Akashiwo sanguineum	
Gyrodinium (L)	Gyrodinium (M)	Gyrodinium (m)	Gyrodinium (med)	
Protoperidinium  bipes	Protoperidinium bipes	
Protoperidinium  globulum	Protoperidinium  pentagonum	Protoperidinium globulum	
Protoperidinium  globulum	Protoperidinium  pentagonum	Protoperidium (big star shaped)	
Dictyoca	Dictyocha	
Oscillatoria	Oscillatoria (fine, filaments)	
